Week,EV: (Worldwide)
2016-11-06,81
2016-11-13,84
2016-11-20,92
2016-11-27,91
2016-12-04,92
2016-12-11,94
2016-12-18,92
2016-12-25,92
2017-01-01,90
2017-01-08,89
2017-01-15,91
2017-01-22,85
2017-01-29,96
2017-02-05,95
2017-02-12,93
2017-02-19,92
2017-02-26,91
2017-03-05,87
2017-03-12,92
2017-03-19,89
2017-03-26,88
2017-04-02,86
2017-04-09,87
2017-04-16,86
2017-04-23,85
2017-04-30,85
2017-05-07,85
2017-05-14,86
2017-05-21,81
2017-05-28,90
2017-06-04,86
2017-06-11,88
2017-06-18,86
2017-06-25,84
2017-07-02,95
2017-07-09,90
2017-07-16,91
2017-07-23,87
2017-07-30,95
2017-08-06,90
2017-08-13,89
2017-08-20,83
2017-08-27,74
2017-09-03,83
2017-09-10,91
2017-09-17,86
2017-09-24,86
2017-10-01,86
2017-10-08,88
2017-10-15,84
2017-10-22,80
2017-10-29,81
2017-11-05,85
2017-11-12,83
2017-11-19,81
2017-11-26,86
2017-12-03,88
2017-12-10,84
2017-12-17,87
2017-12-24,87
2017-12-31,89
2018-01-07,91
2018-01-14,85
2018-01-21,84
2018-01-28,88
2018-02-04,91
2018-02-11,91
2018-02-18,60
2018-02-25,59
2018-03-04,60
2018-03-11,56
2018-03-18,55
2018-03-25,55
2018-04-01,54
2018-04-08,53
2018-04-15,53
2018-04-22,53
2018-04-29,53
2018-05-06,55
2018-05-13,49
2018-05-20,58
2018-05-27,55
2018-06-03,55
2018-06-10,52
2018-06-17,56
2018-06-24,57
2018-07-01,58
2018-07-08,59
2018-07-15,60
2018-07-22,63
2018-07-29,59
2018-08-05,59
2018-08-12,60
2018-08-19,51
2018-08-26,63
2018-09-02,60
2018-09-09,58
2018-09-16,53
2018-09-23,55
2018-09-30,53
2018-10-07,54
2018-10-14,54
2018-10-21,51
2018-10-28,47
2018-11-04,52
2018-11-11,54
2018-11-18,52
2018-11-25,53
2018-12-02,54
2018-12-09,55
2018-12-16,55
2018-12-23,56
2018-12-30,53
2019-01-06,57
2019-01-13,54
2019-01-20,52
2019-01-27,53
2019-02-03,56
2019-02-10,56
2019-02-17,57
2019-02-24,59
2019-03-03,58
2019-03-10,60
2019-03-17,57
2019-03-24,55
2019-03-31,54
2019-04-07,57
2019-04-14,56
2019-04-21,54
2019-04-28,54
2019-05-05,53
2019-05-12,55
2019-05-19,57
2019-05-26,52
2019-06-02,50
2019-06-09,57
2019-06-16,58
2019-06-23,59
2019-06-30,61
2019-07-07,60
2019-07-14,60
2019-07-21,61
2019-07-28,65
2019-08-04,62
2019-08-11,59
2019-08-18,63
2019-08-25,61
2019-09-01,61
2019-09-08,59
2019-09-15,59
2019-09-22,63
2019-09-29,62
2019-10-06,61
2019-10-13,59
2019-10-20,57
2019-10-27,57
2019-11-03,56
2019-11-10,60
2019-11-17,62
2019-11-24,60
2019-12-01,66
2019-12-08,63
2019-12-15,62
2019-12-22,74
2019-12-29,73
2020-01-05,70
2020-01-12,73
2020-01-19,76
2020-01-26,81
2020-02-02,92
2020-02-09,76
2020-02-16,78
2020-02-23,71
2020-03-01,69
2020-03-08,62
2020-03-15,61
2020-03-22,64
2020-03-29,59
2020-04-05,62
2020-04-12,60
2020-04-19,62
2020-04-26,64
2020-05-03,72
2020-05-10,67
2020-05-17,71
2020-05-24,74
2020-05-31,95
2020-06-07,91
2020-06-14,81
2020-06-21,79
2020-06-28,82
2020-07-05,75
2020-07-12,74
2020-07-19,75
2020-07-26,66
2020-08-02,75
2020-08-09,73
2020-08-16,72
2020-08-23,71
2020-08-30,67
2020-09-06,67
2020-09-13,67
2020-09-20,68
2020-09-27,66
2020-10-04,70
2020-10-11,69
2020-10-18,99
2020-10-25,76
2020-11-01,69
2020-11-08,72
2020-11-15,74
2020-11-22,72
2020-11-29,73
2020-12-06,79
2020-12-13,77
2020-12-20,77
2020-12-27,73
2021-01-03,79
2021-01-10,75
2021-01-17,74
2021-01-24,77
2021-01-31,76
2021-02-07,78
2021-02-14,78
2021-02-21,76
2021-02-28,74
2021-03-07,72
2021-03-14,71
2021-03-21,80
2021-03-28,78
2021-04-04,77
2021-04-11,71
2021-04-18,81
2021-04-25,71
2021-05-02,75
2021-05-09,73
2021-05-16,76
2021-05-23,74
2021-05-30,72
2021-06-06,70
2021-06-13,72
2021-06-20,71
2021-06-27,71
2021-07-04,70
2021-07-11,72
2021-07-18,68
2021-07-25,73
2021-08-01,74
2021-08-08,73
2021-08-15,74
2021-08-22,73
2021-08-29,73
2021-09-05,68
2021-09-12,69
2021-09-19,69
2021-09-26,65
2021-10-03,67
2021-10-10,68
2021-10-17,68
2021-10-24,70
2021-10-31,72
2021-11-07,73
2021-11-14,79
2021-11-21,75
2021-11-28,73
2021-12-05,74
2021-12-12,84
2021-12-19,77
2021-12-26,73
2022-01-02,86
2022-01-09,79
2022-01-16,74
2022-01-23,77
2022-01-30,82
2022-02-06,78
2022-02-13,85
2022-02-20,80
2022-02-27,82
2022-03-06,93
2022-03-13,90
2022-03-20,90
2022-03-27,87
2022-04-03,89
2022-04-10,95
2022-04-17,90
2022-04-24,86
2022-05-01,85
2022-05-08,98
2022-05-15,92
2022-05-22,89
2022-05-29,92
2022-06-05,88
2022-06-12,94
2022-06-19,93
2022-06-26,89
2022-07-03,85
2022-07-10,84
2022-07-17,94
2022-07-24,99
2022-07-31,93
2022-08-07,87
2022-08-14,98
2022-08-21,94
2022-08-28,87
2022-09-04,88
2022-09-11,95
2022-09-18,90
2022-09-25,86
2022-10-02,83
2022-10-09,88
2022-10-16,80
2022-10-23,81
2022-10-30,82
2022-11-06,83
2022-11-13,81
2022-11-20,81
2022-11-27,85
2022-12-04,87
2022-12-11,86
2022-12-18,90
2022-12-25,88
2023-01-01,96
2023-01-08,95
2023-01-15,100
2023-01-22,92
2023-01-29,94
2023-02-05,93
